3.8.0 (default, Nov 16 2019, 06:37:13) 
[Clang 11.0.0 (clang-1100.0.33.12)]
vmi-minecraft-1.13.0-centos-7.5-amd64-100gb => 9e6afb43-ec16-4abb-8d4a-20ab9eaae6fa
vmi-minecraft-1.12.2-centos-7.6-amd64-100gb => 4ce06203-efb6-4206-ad45-1b9945627e5e
vmi-minecraft-1.14.4-centos-7.6-amd64-100gb => c7f2cce7-7b58-4e73-b7d0-601454674099
vmi-centos-7.6-amd64-100gb => 37975142-2199-4ee9-9aa9-bc669e43f139
vmi-centos-7.6-amd64-30gb => 597b81a1-f6b9-49e4-86ee-788445439c87
vmi-centos-7.7-amd64-100gb => bfcad192-ff5e-4094-8c00-fe3c047356d2
vmi-centos-7.7-amd64-30gb => 5b87c33e-8253-46a3-83a8-9fbed3525c4c
vmi-centos-8.0-amd64-100gb => 0a65d649-3b51-4985-b1d9-b1446c275f81
vmi-centos-8.0-amd64-30gb => a4ea3849-ef2e-4d4a-a540-a6507ef3b2bb
vmi-minecraft-1.15.2-centos-7.7-amd64 => fbea59d8-53e7-4782-8387-bd5c5cac437e
vmi-minecraft-1.15.0-centos-7.7-amd64-100gb => fad3ae0c-9e19-417d-8446-eb6dec200249
vmi-kusanagimanager-0.3.0-centos-7.7-amd64-100gb => 941059dc-498d-476d-ab24-e7ad4862c0fe
vmi-minecraft-1.15.1-centos-7.7-amd64-100gb => 82e8e932-0854-4dd5-8756-af6ffee059f6
vmi-centos-7.2-amd64-100gb => 42a5c5ad-8e0f-4be2-b153-8236f3be09d5
vmi-centos-7.2-amd64-30gb => d2a2efa0-61e6-47ad-9b8f-02be35b77324
vmi-centos-7.1-amd64-100gb => 42a5c5ad-8e0f-4be2-b153-8236f3be09d3
vmi-centos-7.1-amd64-30gb => d2a2efa0-61e6-47ad-9b8f-02be35b77322
vmi-minecraft-1.15.1-centos-7.7-amd64 => e5b5ab6e-2477-4de2-bc4b-b42b3b047bbc
vmi-netbsd-8.1-amd64 => cfb534fa-da58-4d10-aa8f-735f8fd9ad05
vmi-netbsd-8.1-amd64-20gb => 7c17d9ff-ddf2-4aa7-b5c5-157f8c1bf0df
vmi-openbsd-6.6-amd64 => 4547cd4b-36d7-46e1-8d93-9dc7f4e97bd0
vmi-openbsd-6.6-amd64-20gb => b5adc38d-9f54-4a83-978d-a9722fe5c830
vmi-kusanagimanager-0.3.0-centos-7.7-amd64 => c3d08040-9da6-4695-bbee-9ca456c8ac4a
vmi-minecraft-1.15.0-centos-7.7-amd64 => 426c0f50-350a-4486-be89-6945c8234126
vmi-centos-8.0-amd64-20gb => 40da3c94-df97-4f66-9ae0-ca41bc9720ac
vmi-centos-8.0-amd64 => d4e72431-8f2a-4201-b617-8409f077eff8
vmi-centos-7.7-amd64-20gb => 754b933c-fc83-4fdc-833f-6b83f83b1dc0
vmi-centos-7.7-amd64 => 63e83092-3e94-43bf-8956-843fa08999c8
vmi-centos-7.6-amd64-20gb => aa385a64-2ef3-4429-8e89-9954fcc8f5fc
vmi-centos-7.6-amd64 => 34c551c5-5494-4e32-9f56-4de023708eb4
vmi-minecraft-1.14.4-centos-7.6-amd64 => 7c86696f-706a-4a77-b389-718abc557580
vmi-minecraft-1.12.2-centos-7.6-amd64 => c967fa2a-e677-4444-b932-5356c85a0d0d
vmi-minecraft-1.13.0-centos-7.5-amd64 => 2b97425f-ecbe-4969-9a90-737e4259a4f6
vmi-minecraft-1.13.1-centos-7.5-amd64 => 57c25046-1401-4ce8-938d-c22dbef1108e
vmi-minecraft-1.13.2-centos-7.5-amd64 => 65e4a0ca-fd48-48b7-9513-ddaf3ea2dddb
vmi-minecraft-1.14.0-centos-7.6-amd64 => 6783a5e9-3d2d-4875-ab4e-4f3f7c745055
vmi-minecraft-1.14.1-centos-7.6-amd64 => e836727e-8d2a-42de-a744-5c911e66324c
vmi-minecraft-1.14.2-centos-7.6-amd64 => 67203ce0-6bfe-4197-8292-f9e87032c188
vmi-minecraft-1.14.3-centos-7.6-amd64 => 633a5b7e-ad30-4177-b703-f93229b627a8
vmi-nodejs-10.15.3-centos-7.6-amd64-20gb => 1325798d-2fdc-4af4-a075-334f0f7fadcd
vmi-nodejs-10.15.3-centos-7.6-amd64 => c6bb85b6-c182-42b6-b720-ce78ca0df479
vmi-archivebox-0.2.4-ubuntu-18.04-amd64-20gb => 068ded38-08aa-484b-b373-d7a30f8780fd
vmi-archivebox-0.2.4-ubuntu-18.04-amd64 => 7f007f4e-c0dd-4a42-b39a-2f27faed593f
vmi-redis-5.0-centos-7.6-amd64-20gb => bc53cb47-d7e0-4455-b0ed-a7bea86b57cb
vmi-redis-5.0-centos-7.6-amd64 => e1b68129-02da-41f1-8f8e-ec25f7b12a65
vmi-ubuntu-16.04-i386-20gb => f787518e-a936-4a05-8b69-0158a9b60f53
vmi-ubuntu-16.04-i386 => 28187571-89f8-42a9-a741-0eb16ae1464d
vmi-ubuntu-16.04-amd64-20gb => de03b36d-21d8-4e58-9b8e-24581dda86fa
vmi-ubuntu-16.04-amd64 => 7d756806-dc48-4b8b-9dc1-24b42742a256
vmi-debian-9.7-amd64-20gb => 3477ef54-7b51-437d-ab27-fccf3e7d2109
